id,first_soilMes,last_soilMes,nNAs_soilMes,NAsRatio_soilMes
0B9D,2019-03-27 10:00:00,2019-07-28 09:00:00,133,0.0111446287916876
0F0C,2018-08-21 17:30:00,2019-05-06 07:45:00,8106,0.246863198928006
0F2F,2019-03-26 15:30:00,2019-07-28 08:30:00,135,0.0112425049966689
0F04,2018-08-21 17:45:00,2018-10-26 13:00:00,26517,0.807583371402467
0F48,2018-08-21 17:45:00,2019-01-24 11:00:00,17881,0.544571341556266
1BF2,2018-08-26 17:30:00,2019-07-29 09:15:00,7461,0.230590925948819
1CA2,2018-08-21 18:30:00,2019-07-29 08:30:00,2086,0.063535575048733
1E8C,2018-08-21 18:45:00,2018-10-26 13:15:00,26516,0.807651305168895
2BB7,2018-08-26 11:15:00,2019-07-28 08:45:00,138,0.00426175843859053
2CD5,2018-08-21 12:15:00,2019-07-29 07:45:00,4922,0.14980065130718
2CF7,2018-09-08 16:00:00,2018-11-27 13:00:00,23441,0.753390756572604
2D1F,2018-08-28 12:00:00,2019-07-28 09:15:00,268,0.00832660162803704
2D8F,2018-08-28 11:30:00,2019-07-28 09:15:00,3128,0.0971790729464397
2D46,2018-08-28 12:15:00,2019-07-28 09:00:00,2318,0.0720211278545907
2E26,2018-08-25 18:45:00,2019-07-29 17:45:00,132,0.00406817271242334
2EB1,2018-08-28 11:30:00,2019-07-28 18:30:00,458,0.0142289051820554
2F1D,2018-08-21 17:15:00,2019-01-24 11:00:00,17881,0.544538173401955
3A30,2018-08-21 12:15:00,2018-10-13 15:30:00,27755,0.844721064004626
04A7,2019-03-15 13:00:00,2019-07-27 19:00:00,189,0.0144561725562185
4A9D,2018-08-25 18:00:00,2018-12-10 16:15:00,22184,0.683636363636364
4AA5,2018-08-25 11:30:00,2019-07-29 17:30:00,5,0.000153959847271832
4AE2,2018-08-21 17:00:00,2018-12-24 13:30:00,20847,0.634843778549242
4BD0,2019-03-26 15:45:00,2019-03-31 17:15:00,11524,0.959773465478471
4BEA,2018-08-25 18:15:00,2018-11-27 14:00:00,23441,0.722395143147709
4D8F,2018-08-25 19:00:00,2018-11-27 14:15:00,23687,0.730043765024965
4D23,2018-08-26 11:00:00,2019-07-28 08:45:00,6176,0.190723241306899
4D60,2019-03-30 09:45:00,2019-07-27 19:15:00,188,0.0161414956641195
4E44,2019-03-30 10:00:00,2019-07-27 19:15:00,188,0.016142881676112
4E71,2018-08-26 10:45:00,2019-07-28 09:00:00,134,0.00413797362813822
4EFA,2018-08-28 11:15:00,2019-07-29 09:00:00,38,0.00118052750939762
4F85,2019-03-30 10:30:00,2019-07-27 19:30:00,187,0.0160597732737891
4FD2,2019-03-30 09:15:00,2019-07-27 19:15:00,188,0.0161387243540218
5A23,2019-04-10 15:30:00,2019-07-29 17:45:00,116,0.0109723798713583
5B8B,2018-08-21 12:45:00,2019-02-07 10:30:00,17843,0.543083244559428
5B9E,2018-08-25 11:00:00,2019-03-31 17:00:00,11525,0.354855594556315
5B33,2018-08-28 11:00:00,2019-07-29 09:00:00,37,0.00114942528735632
5BC7,2018-08-28 18:45:00,2019-03-02 13:00:00,14386,0.447339780465811
5BF1,2019-03-30 08:45:00,2019-07-27 19:00:00,1306,0.112093382542271
5C9B,2018-08-25 18:15:00,2019-07-29 17:45:00,2,6.16351813615212e-05
5D17,2018-08-21 12:15:00,2019-07-29 17:30:00,3541,0.107770033782756
5D46,2018-08-21 12:45:00,2019-07-29 07:45:00,16018,0.487536143661543
5D52,2018-08-25 19:30:00,2019-07-29 17:45:00,2767,0.0852854148686968
5D64,2018-08-25 18:15:00,2018-10-26 10:15:00,26532,0.81765231594194
5DF9,2018-08-25 18:45:00,2019-02-07 15:00:00,16521,0.509168798348075
5E32,2018-08-25 10:30:00,2018-09-24 11:15:00,29596,0.911206896551724
5E42,2018-08-25 10:30:00,2019-04-21 06:45:00,10638,0.327524630541872
5EC4,2018-08-21 19:00:00,2019-07-29 08:30:00,1547,0.0471215351812367
5F9D,2018-08-25 11:30:00,2019-06-14 18:30:00,4321,0.133052100012317
5F14,2018-08-25 11:45:00,2019-07-29 18:00:00,1145,0.0352578906851424
5FA9,2018-08-21 17:30:00,2018-12-24 13:30:00,20847,0.634882446095749
5FB5,2018-08-25 11:45:00,2019-03-31 18:00:00,13290,0.409237875288684
5FD8,2018-08-25 10:15:00,2019-01-09 15:00:00,20003,0.615836950832795
5FFA,2018-08-21 17:00:00,2019-01-24 11:15:00,17880,0.544491138315366
06A9,2018-08-28 11:30:00,2019-07-28 09:15:00,13658,0.424319622219461
6A37,2018-08-17 12:00:00,2018-10-26 08:45:00,26535,0.798237169845376
6B0C,2018-08-17 12:15:00,2019-03-31 15:45:00,26211,0.788514184290485
6C89,2018-08-17 12:00:00,2019-07-28 18:45:00,5153,0.155014740388665
6CD4,2018-08-25 18:00:00,2019-01-09 15:15:00,19308,0.595007704160247
6D13,2018-08-25 19:30:00,2019-07-29 17:30:00,2752,0.084823079768216
6DB3,2018-08-17 12:15:00,2019-07-28 18:45:00,4471,0.134502572124786
6E45,2018-08-17 12:00:00,2019-07-29 17:45:00,4,0.000120329703387281
6F1C,2018-09-04 13:00:00,2019-07-29 09:15:00,36,0.00114249444620755
6F72,2018-08-17 12:00:00,2019-07-28 18:30:00,11627,0.34976836532098
07AA,2018-08-26 10:15:00,2019-07-28 09:15:00,1866,0.0576192681797128
07B7,2019-03-15 15:00:00,2019-07-28 07:15:00,140,0.0107148323894076
7C4B,2018-08-28 12:15:00,2019-07-28 09:00:00,351,0.010905701413702
07CF,2018-08-28 11:30:00,2019-07-28 09:15:00,23130,0.718590779172362
7F84,2019-03-26 17:45:00,2019-07-29 07:45:00,42,0.00350029169097425
08CC,2018-08-25 18:30:00,2019-06-14 18:00:00,4325,0.133290187376726
8ED3,2018-08-17 12:15:00,2019-07-28 18:45:00,10901,0.327938389338468
8F37,2019-03-31 08:45:00,2019-07-27 19:45:00,186,0.0160913573838567
09A7,2019-03-26 16:15:00,2019-07-28 08:30:00,3337,0.277967513536027
9B35,2019-03-30 09:30:00,2019-07-27 19:15:00,188,0.0161401098901099
09E3,2018-08-26 17:30:00,2019-07-29 09:15:00,36,0.00111262207936704
9FAC,2018-08-26 11:45:00,2018-09-24 10:45:00,29598,0.914110997868989
9FB7,2018-08-25 20:00:00,2018-10-26 09:00:00,26537,0.817982861722459
9FFC,2018-08-17 12:15:00,2019-07-28 18:30:00,3727,0.112120573989952
11F6,2019-03-28 08:45:00,2019-07-29 09:15:00,9600,0.810605420923752
0025,2018-08-25 11:45:00,2018-11-15 09:45:00,25747,0.792825250192456
31DD,2018-08-21 19:00:00,2019-03-02 10:45:00,16011,0.487694182150472
33A1,2018-08-21 18:30:00,2018-09-24 10:15:00,29600,0.901559454191033
34A3,2018-08-21 17:15:00,2019-01-08 12:45:00,19410,0.591101501355179
35E2,2018-08-21 12:30:00,2019-07-29 07:45:00,391,0.011900413927441
39B3,2018-08-28 16:45:00,2018-10-26 10:00:00,26533,0.824851555942425
40A0,2018-08-21 19:00:00,2019-07-29 17:15:00,4,0.000121839780688395
40EA,2018-08-28 12:15:00,2019-07-28 09:00:00,5716,0.177598260059034
41BE,2018-08-21 12:30:00,2019-07-29 07:45:00,27236,0.828950572193815
53C2,2018-08-21 18:45:00,2018-11-27 15:45:00,23430,0.713654777496878
54AD,2018-08-26 10:45:00,2019-07-28 09:00:00,9637,0.297594416823642
54B8,2018-08-25 18:45:00,2019-07-29 17:45:00,3,9.2458470736894e-05
55E3,2018-08-25 11:30:00,2018-10-26 09:45:00,26534,0.817034117502156
56EB,2019-03-26 17:00:00,2019-07-28 16:45:00,102,0.0084985835694051
57D0,2019-03-26 17:15:00,2019-07-29 07:45:00,42,0.00349970835763686
57E5,2018-08-21 13:00:00,2018-10-13 15:30:00,27755,0.844798198088513
58A2,2018-08-25 20:00:00,2019-01-24 09:00:00,17893,0.551538129585106
58DD,2018-08-25 19:00:00,2019-07-29 17:45:00,3127,0.0963755162423719
59F0,2018-08-21 18:00:00,2019-07-29 08:30:00,20156,0.613875860388622
59FF,2018-08-17 12:00:00,2019-07-28 18:45:00,8736,0.262800072197822
60CB,2018-08-25 18:30:00,2019-07-29 17:45:00,1104,0.0340236686390533
61DB,2018-08-21 13:00:00,2019-02-07 10:30:00,16539,0.503409021732514
61FC,2018-08-25 18:45:00,2018-10-26 11:45:00,26522,0.817394520294634
63B0,2018-08-21 17:45:00,2019-07-29 08:30:00,4593,0.139881224303335
63D4,2018-08-25 18:45:00,2019-05-12 07:30:00,11886,0.366320461059574
64E8,2018-08-17 12:00:00,2019-07-28 18:30:00,12618,0.379580049335178
65BE,2018-08-25 19:00:00,2018-12-25 10:15:00,21501,0.66267028293164
65C0,2018-08-26 10:30:00,2018-12-10 13:45:00,23079,0.712666749011858
65E0,2018-08-26 17:15:00,2019-02-07 10:45:00,16550,0.511481286893099
66C4,2018-08-26 12:00:00,2019-07-28 09:00:00,2815,0.0869417505713756
74B8,2019-03-28 08:00:00,2019-07-29 09:15:00,36,0.00303900050650008
75E0,2019-03-30 10:15:00,2019-07-27 19:15:00,188,0.0161442679261486
91AA,2018-08-17 12:15:00,2019-07-28 18:30:00,8740,0.262928311422641
95B0,2018-08-25 20:15:00,2019-07-28 09:00:00,2857,0.0880675688172375
95F5,2018-08-26 11:15:00,2019-07-28 09:00:00,11534,0.356196535005096
249F,2018-08-25 10:45:00,2019-07-28 08:30:00,139,0.00427968841405216
316E,2018-08-21 17:30:00,2019-05-06 07:45:00,8106,0.246863198928006
321D,2018-08-25 10:45:00,2019-01-24 14:30:00,21149,0.651159210566828
334B,2018-08-25 10:45:00,2018-09-24 11:15:00,29596,0.911234951815019
391F,2018-08-25 11:00:00,2018-10-29 10:30:00,26900,0.828252971242072
392B,2018-08-21 12:30:00,2019-07-29 07:45:00,1836,0.0558802045288532
533F,2018-08-28 11:00:00,2019-01-24 12:00:00,17877,0.555358807082945
536D,2018-08-25 11:15:00,2018-10-29 10:30:00,26497,0.815869692397697
553F,2018-08-26 11:00:00,2019-07-28 08:45:00,134,0.00413810141436601
0564,2018-08-26 17:30:00,2019-07-29 09:15:00,8668,0.267894671776487
0575,2018-08-28 11:45:00,2019-07-28 09:15:00,137,0.00425637679808618
586F,2018-08-25 20:00:00,2019-07-28 08:45:00,138,0.00425374514518217
587C,2018-08-21 18:45:00,2019-02-07 10:45:00,16538,0.503731229630532
608E,2018-08-21 17:15:00,2018-11-27 15:30:00,23431,0.713554831440144
630F,2018-08-26 11:15:00,2019-07-28 09:00:00,7272,0.224576140329205
632D,2018-08-25 11:15:00,2018-10-12 13:30:00,27859,0.857807063460295
0635,2018-08-25 11:30:00,2019-06-30 17:00:00,11567,0.356170710678655
640D,2018-08-21 17:30:00,2019-02-07 10:30:00,16540,0.503715434279449
641D,2018-08-21 19:00:00,2019-02-07 10:45:00,16538,0.503746573256168
642E,2018-08-26 11:45:00,2019-07-28 09:00:00,137,0.00423113746564131
671D,2018-08-17 12:15:00,2019-07-28 18:30:00,100,0.00300833308263891
676F,2018-08-21 18:30:00,2019-04-20 18:00:00,9613,0.292793615984405
716B,2018-08-21 17:30:00,2019-07-29 08:15:00,3324,0.101230356925326
805C,2019-03-30 16:45:00,2019-06-30 16:45:00,2790,0.24012393493416
0808,2018-08-25 19:00:00,2018-10-29 10:30:00,26239,0.808697528200703
0876,2018-08-28 12:00:00,2019-07-28 09:00:00,1897,0.0589386689865159
926F,2018-08-26 11:15:00,2019-07-28 09:00:00,4464,0.137858620796146
947E,2018-08-25 19:45:00,2019-07-28 08:45:00,1469,0.0452794131245569
983A,2018-08-17 12:15:00,2019-07-28 18:30:00,95,0.00285791642850696
1087,2019-03-27 10:45:00,2019-07-28 18:30:00,95,0.0079624507585282
1099,2018-08-21 17:15:00,2019-05-06 07:45:00,8790,0.267685842190212
1108,2018-08-21 12:45:00,2019-07-29 07:45:00,3292,0.100197838989499
1112,2019-03-15 15:15:00,2019-07-28 08:45:00,134,0.0102564102564103
1659,2018-08-25 19:15:00,2019-07-29 17:45:00,1847,0.0569271074125443
2187,2018-08-21 18:45:00,2018-10-26 13:00:00,26517,0.807681764186287
3100,2018-08-25 11:15:00,2018-11-27 13:30:00,25041,0.77103796532931
3120,2018-08-26 11:15:00,2018-11-28 11:15:00,23356,0.721287174577685
3136,2018-08-21 18:15:00,2019-01-24 11:15:00,17885,0.544726342399415
3185,2019-01-04 19:15:00,2019-07-27 19:00:00,235,0.0118872982953108
3217,2019-03-31 09:00:00,2019-03-31 16:30:00,11527,0.99731787506489
3390,2018-08-25 11:00:00,2019-06-30 17:00:00,2793,0.0859966746720857
3462,2019-03-26 16:00:00,2019-07-28 08:30:00,158,0.013160086623355
3757,2018-08-21 18:30:00,2019-07-29 08:45:00,1114,0.0339303118908382
4176,2018-08-21 18:15:00,2019-07-29 08:15:00,2111,0.0642950689854719
4186,2018-08-25 11:45:00,2019-04-21 07:00:00,10718,0.330038491147036
4630,2018-08-26 11:45:00,2019-07-28 09:15:00,7066,0.218227863738843
4704,2018-08-26 11:30:00,2019-07-28 09:00:00,138,0.00426189005558987
5151,2018-08-28 11:00:00,2018-11-14 17:00:00,24673,0.766480273376825
5176,2018-08-25 18:30:00,2019-01-09 15:30:00,20255,0.624229536489152
5181,2018-08-26 17:15:00,2019-07-29 18:30:00,11491,0.355131810736471
5208,2018-08-25 12:00:00,2019-05-12 07:30:00,8656,0.266551702900782
5259,2018-08-25 19:00:00,2019-02-07 15:00:00,16521,0.509184491154534
5559,2018-08-21 18:15:00,2019-06-30 10:15:00,2816,0.0857673681966315
5654,2018-08-25 19:00:00,2018-12-10 16:45:00,22179,0.68356654133021
5738,2018-08-21 17:00:00,2018-12-10 15:00:00,23756,0.723430172361289
5746,2019-03-26 16:45:00,2019-04-21 06:45:00,9550,0.795634424727152
5766,2018-08-21 19:00:00,2019-07-29 08:30:00,5394,0.1643009442583
5968,2018-08-25 11:30:00,2018-12-10 16:15:00,23184,0.713881019830028
5991,2018-08-17 12:00:00,2019-07-27 19:45:00,335,0.0100776126586848
6074,2018-08-21 12:15:00,2018-10-26 12:30:00,26519,0.807103509145692
6099,2018-08-25 11:30:00,2019-03-02 12:45:00,15513,0.477675822145584
6339,2018-08-26 17:15:00,2019-07-29 09:00:00,37,0.00114349290725345
6401,2018-08-25 12:00:00,2019-05-12 07:15:00,10265,0.316099033072612
6442,2018-08-25 10:30:00,2018-10-29 10:15:00,26241,0.807912561576355
6501,2018-08-17 12:15:00,2018-10-13 14:45:00,27758,0.835053097078909
6536,2018-08-17 12:00:00,2019-07-29 08:30:00,1057,0.031797124120089
6791,2018-08-17 12:15:00,2019-07-28 19:00:00,96,0.00288799975933335
9417,2018-08-17 12:00:00,2019-06-14 09:45:00,4354,0.130978882137056
9431,2018-08-25 18:15:00,2018-12-10 16:30:00,23418,0.721686338562051
9545,2018-08-28 11:00:00,2019-07-29 09:00:00,10372,0.322211867039453
9559,2018-08-26 17:15:00,2019-02-07 11:00:00,18647,0.576289520042031
9592,2018-08-17 12:00:00,2019-07-28 18:45:00,4121,0.123969676914746
9609,2018-08-25 19:15:00,2019-07-29 18:30:00,11867,0.365757435660348
9610,2018-08-25 19:15:00,2019-07-29 17:45:00,2,6.1642780089382e-05
A003,2018-08-25 19:30:00,2019-07-29 17:45:00,5588,0.172235236099125
A4F9,2018-08-17 12:15:00,2018-10-26 12:30:00,26553,0.79880268343311
A06F,2018-08-25 18:45:00,2019-07-29 18:00:00,2678,0.0825345948778007
A45D,2018-08-26 11:00:00,2019-07-28 08:45:00,3032,0.0936322648384905
ACD1,2018-08-21 17:15:00,2018-12-10 15:30:00,23344,0.710905381124951
B1C9,2019-03-30 09:00:00,2019-07-27 19:00:00,189,0.0162231759656652
B3DA,2019-03-30 16:30:00,2019-07-27 19:30:00,187,0.0160929432013769
B12D,2019-03-26 17:30:00,2019-07-29 07:45:00,42,0.0035
B122,2019-03-27 11:00:00,2019-07-28 18:30:00,95,0.00796311818943839
B434,2019-03-31 16:15:00,2019-07-29 08:30:00,39,0.00338277387457715
B537,2019-03-26 17:15:00,2019-07-29 07:45:00,42,0.00349970835763686
BC31,2019-03-15 15:00:00,2019-07-28 09:00:00,133,0.0101790907699372
C1C8,2018-08-25 19:30:00,2018-12-10 16:00:00,22185,0.683793613611145
C05B,2019-03-28 09:45:00,2019-07-29 07:45:00,42,0.003547596925416
C6E7,2019-03-27 11:30:00,2019-07-28 18:45:00,94,0.00788061703554661
C12E,2019-03-30 16:45:00,2019-07-27 19:30:00,187,0.0160943282554437
C14B,2019-03-28 08:15:00,2019-07-29 09:00:00,618,0.0521739130434783
C15F,2019-03-26 17:00:00,2019-07-28 08:30:00,135,0.0112481253124479
C142,2018-08-25 19:15:00,2019-07-29 17:30:00,3520,0.108491292957312
C488,2018-08-17 12:00:00,2019-07-28 18:30:00,1392,0.0418747367787738
C701,2019-03-30 09:00:00,2019-07-27 19:00:00,189,0.0162231759656652
C718,2019-03-26 15:45:00,2019-07-28 08:30:00,135,0.0112434413258932
C758,2019-03-28 08:30:00,2019-07-29 18:15:00,0,0
CF45,2019-03-26 16:15:00,2019-07-28 08:45:00,136,0.0113286130778842
CF87,2018-08-26 17:00:00,2019-07-29 09:15:00,2744,0.0848012856171581
D85E,2019-03-31 09:00:00,2019-07-27 19:45:00,186,0.0160927496106593
FD71,2018-08-21 18:00:00,2019-07-29 08:15:00,4416,0.13449473107145
FEA8,2018-08-26 11:00:00,2019-07-28 09:00:00,137,0.00423074547588166
FF0C,2019-03-30 10:15:00,2019-07-27 19:15:00,188,0.0161442679261486
FF63,2018-08-28 12:00:00,2019-07-28 09:00:00,625,0.0194183806623998
FFFD,2018-08-21 18:45:00,2018-11-14 16:45:00,24674,0.751545795132649